General Style,ID,Style,Secondary routes,Tempo / key,Mood arc,Vocal cue,Core palette,Template
Cinematic Orchestral & Epic,choral-ambient-new-age_0001,Choral / Ambient / New Age,electronic-synth-ambient-pop,71 BPM; Bb major,"The piece opens with a serene, meditative stillness established by a solo voice and soft pads.",Singer A (Female) and a Mixed Choir (Male and Female).,"A warm, evolving synthesizer pad serves as the foundational harmonic bed, present from the very beginning to the end.",templates/choral-ambient-new-age_0001.txt
Cinematic Orchestral & Epic,choral-orchestral-march-patriotic-anthem_0001,Choral / Orchestral March / Patriotic Anthem,general-pop-ballad,111 BPM; Eb major,"The piece opens with a stately, ceremonial grandeur that immediately establishes a tone of solemn determination.",A large mixed choir comprising both male and female voices.,"A full symphonic brass section (trumpets, trombones, French horns) serves as the primary melodic and harmonic driver alongside the choir, present from the very first bar to the final chord, providing fanfare-like…",templates/choral-orchestral-march-patriotic-anthem_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-ballad_0001,Cinematic / Orchestral Ballad,general-pop-ballad,66 BPM; F minor,"The piece opens with a solitary, mysterious, and contemplative atmosphere, establishing a sense of isolation.",Singer A (Male).,"A grand piano provides the foundational harmonic structure throughout the entire track, playing arpeggiated figures in the verses and block chords in the choruses.",templates/cinematic-orchestral-ballad_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-spoken-word_0001,Cinematic / Orchestral Spoken Word,general-pop-ballad,82 BPM; E minor,"The piece opens with a mysterious and contemplative atmosphere, anchored by a solitary piano and deep spoken narration.",Singer A (Male) and Singer B (Female).,"A melancholic acoustic piano serves as the harmonic backbone, playing arpeggiated figures from the Intro through to the Outro, anchoring the piece's tonal center.",templates/cinematic-orchestral-spoken-word_0001.txt
Cinematic Orchestral & Epic,cinematic-sacred-choral-ambient_0001,Cinematic / Sacred Choral / Ambient,"general-pop-ballad, electronic-synth-ambient-pop",64 BPM; Bb major,"The piece opens with a profound sense of reverence and solitude, establishing a solemn atmosphere through a solitary voice.",Singer A (Male) and a Mixed Choir.,"A deep, evolving synthesizer pad serves as the harmonic bedrock, present from the very first second to the last.",templates/cinematic-sacred-choral-ambient_0001.txt
Cinematic Orchestral & Epic,cinematic-spoken-word-orchestral-ambient_0001,Cinematic / Spoken Word / Orchestral Ambient,electronic-synth-ambient-pop,80 BPM; D minor,"The piece opens with a somber, ominous atmosphere that establishes a sense of ancient tragedy and loss.",Singer A (Male).,"A lush string ensemble section serves as the harmonic backbone, present from the very beginning to the end.",templates/cinematic-spoken-word-orchestral-ambient_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-chinese-traditional-fusion_0001,Cinematic Orchestral / Chinese Traditional Fusion,roots-traditional-global,76 BPM; D minor,"The piece opens with a majestic and solemn atmosphere, establishing a sense of historical grandeur.",Singer A (Male).,"A lush string ensemble serves as the primary harmonic bed throughout the track, shifting from slow, legato bowing in the intro to rapid, staccato ostinatos during the high-energy sections.",templates/cinematic-orchestral-chinese-traditional-fusion_0001.txt
Cinematic Orchestral & Epic,cinematic-orchestral-chinese-traditional-fusion_0002,Cinematic Orchestral / Chinese Traditional Fusion,roots-traditional-global,118 BPM; Eb minor,"The piece opens with a solitary, mournful atmosphere that gradually builds tension through the addition of rhythmic elements and harmonic density.",Singer A (Female).,"A solo traditional bowed string instrument (resembling an Erhu) carries the main melodic motif from the Intro, weaving through the verses and returning prominently in the Outro.",templates/cinematic-orchestral-chinese-traditional-fusion_0002.txt
Cinematic Orchestral & Epic,cinematic-orchestral-chinese-traditional-fusion_0003,Cinematic Orchestral / Chinese Traditional Fusion,roots-traditional-global,120 BPM; D minor,"The piece opens with a solitary, mournful atmosphere that evokes deep nostalgia and introspection.",Singer A (Male).,"A solo Erhu (Chinese two-stringed fiddle) serves as the primary melodic voice in the intro and verses, delivering a plaintive, singing tone.",templates/cinematic-orchestral-chinese-traditional-fusion_0003.txt
Cinematic Orchestral & Epic,cinematic-orchestral-choral-epic_0001,Cinematic Orchestral / Choral Epic,general-pop-ballad,76 BPM; Bb major,"The piece opens with a serene, ethereal stillness that evokes a sense of quiet awakening.",Singer A (Female) and Ensemble B (Mixed Choir).,"A grand piano with a bright, resonant tone establishes the harmonic foundation in the intro and remains present throughout, anchoring the chord progressions even when obscured by the orchestra.",templates/cinematic-orchestral-choral-epic_0001.txt
